complaint_id,ward,category,priority,status,date,latitude,longitude,rainfall,traffic,population,department
CMP-000030,Ward-39,Air Pollution,High,Closed,2024-06-16,12.788373,77.521477,67.9,61.7,110561,Parks & Environment
CMP-000031,Ward-16,Road Damage,High,Closed,2025-09-06,12.87646,77.425782,58.1,61.5,109098,Parks & Environment
CMP-000032,Ward-1,Traffic Signal Fault,High,Open,2025-01-05,12.94454,77.414077,33.2,28.3,111530,Urban Planning
CMP-000033,Ward-30,Streetlight Outage,High,In Progress,2026-05-22,12.890707,77.429456,54.5,104.5,31828,General Administration
CMP-000034,Ward-32,Public Nuisance,Low,In Progress,2026-03-27,12.872108,77.459132,3.0,42.0,41365,Water Board
CMP-000035,Ward-27,Sewage Overflow,High,Resolved,2025-10-23,12.866411,77.447428,102.1,86.5,15074,Parks & Environment
CMP-000036,Ward-31,Illegal Construction,Low,Pending,2025-07-17,12.944541,77.688112,32.5,79.0,94507,Roads & Infrastructure
CMP-000037,Ward-12,Road Damage,High,In Progress,2025-08-26,12.870586,77.463345,37.0,98.4,99939,Electrical
CMP-000038,Ward-35,Road Damage,Low,Open,2024-10-26,12.822982,77.458591,43.4,46.7,45007,Water Board
CMP-000039,Ward-12,Air Pollution,Low,Closed,2024-04-26,12.867496,77.460866,66.3,104.0,99939,Water Board
CMP-000040,Ward-6,Water Logging,Low,Closed,2025-09-12,12.835284,77.466962,66.7,25.1,64797,General Administration
CMP-000041,Ward-37,Noise Pollution,Medium,Resolved,2026-02-20,12.944849,77.458492,27.2,69.3,89847,Sanitation
CMP-000042,Ward-39,Sewage Overflow,Low,In Progress,2024-10-16,12.783139,77.528396,23.8,13.9,110561,Electrical
CMP-000043,Ward-18,Traffic Signal Fault,Low,Open,2024-11-10,12.794762,77.448374,92.3,51.0,112912,General Administration
CMP-000044,Ward-33,Illegal Construction,Medium,Resolved,2026-06-29,12.962526,77.516144,57.2,62.1,82839,Water Board
CMP-000045,Ward-3,Tree Fall,Low,Resolved,2025-03-28,12.76726,77.459221,16.0,25.4,41062,General Administration
CMP-000046,Ward-21,Stray Animals,High,In Progress,2025-12-11,12.797904,77.607396,12.8,73.7,93104,Water Board
CMP-000047,Ward-26,Public Nuisance,High,Open,2026-06-09,13.012008,77.487798,67.0,87.7,35032,General Administration
CMP-000048,Ward-36,Road Damage,Low,Closed,2025-05-11,12.762649,77.418887,28.5,50.9,51500,Sanitation
CMP-000049,Ward-15,Water Logging,High,Resolved,2024-04-30,12.850239,77.623573,41.9,68.5,56347,Urban Planning
CMP-000050,Ward-30,Illegal Construction,Medium,Pending,2025-06-04,12.900723,77.413494,114.2,95.1,31828,Parks & Environment
CMP-000051,Ward-1,Garbage Collection,Low,Resolved,2025-11-06,12.941621,77.400475,19.8,41.6,111530,Parks & Environment
CMP-000052,Ward-16,Noise Pollution,Low,Closed,2024-02-14,12.866713,77.419317,99.8,52.4,109098,Sanitation
CMP-000053,Ward-38,Garbage Collection,Low,Closed,2024-04-12,12.923382,77.472038,43.5,35.0,27363,Sanitation
CMP-000054,Ward-40,Power Outage,Medium,Closed,2026-05-22,12.769738,77.596709,98.0,31.1,110448,General Administration
CMP-000055,Ward-19,Water Logging,High,Resolved,2024-04-10,12.930583,77.673425,57.1,50.9,33131,Urban Planning
CMP-000056,Ward-19,Garbage Collection,Medium,In Progress,2025-02-25,12.926695,77.675197,49.9,50.9,33131,Parks & Environment
CMP-000057,Ward-10,Garbage Collection,Medium,Resolved,2025-11-13,12.761055,77.604472,103.8,59.4,45512,Sanitation
CMP-000058,Ward-20,Stray Animals,Medium,In Progress,2026-05-15,12.8989,77.43726,33.8,33.7,97240,Parks & Environment
CMP-000059,Ward-19,Water Supply,High,In Progress,2024-01-09,12.926695,77.673063,44.7,39.9,33131,General Administration
CMP-000060,Ward-15,Noise Pollution,Medium,Resolved,2025-09-27,12.842298,77.635606,32.2,35.5,56347,Sanitation
CMP-000061,Ward-20,Tree Fall,Low,In Progress,2024-05-14,12.894661,77.423175,29.0,30.2,97240,Sanitation
CMP-000062,Ward-33,Encroachment,High,In Progress,2026-04-24,12.972769,77.529046,39.2,91.3,82839,Roads & Infrastructure
CMP-000063,Ward-15,Public Nuisance,High,Pending,2026-05-16,12.853377,77.62781,30.2,73.6,56347,Roads & Infrastructure
CMP-000064,Ward-38,Streetlight Outage,Medium,In Progress,2025-11-22,12.917539,77.463399,74.0,38.2,27363,Electrical
CMP-000065,Ward-20,Stray Animals,Low,Open,2024-02-08,12.898945,77.427125,56.8,56.0,97240,Sanitation
CMP-000066,Ward-35,Streetlight Outage,High,Open,2025-02-28,12.822132,77.472739,0.5,29.0,45007,Urban Planning
CMP-000067,Ward-16,Public Nuisance,Low,Resolved,2025-07-11,12.878383,77.422754,96.3,71.2,109098,Roads & Infrastructure
CMP-000068,Ward-14,Stray Animals,Medium,Open,2026-03-16,12.860507,77.706633,60.6,48.4,104733,Electrical
CMP-000069,Ward-10,Tree Fall,Medium,In Progress,2024-05-28,12.780618,77.599183,66.8,72.6,45512,Water Board
CMP-000070,Ward-38,Garbage Collection,Low,Open,2026-01-29,12.921282,77.465172,75.2,63.9,27363,Traffic Police
CMP-000071,Ward-40,Water Supply,High,Closed,2025-06-17,12.762284,77.598904,166.8,45.6,110448,Parks & Environment
CMP-000072,Ward-29,Water Supply,Low,Resolved,2024-03-08,12.81436,77.474747,12.9,26.4,110932,Parks & Environment
CMP-000073,Ward-39,Streetlight Outage,High,Open,2025-11-01,12.782097,77.534694,42.8,44.1,110561,General Administration
CMP-000074,Ward-26,Streetlight Outage,Low,Resolved,2025-11-12,13.006254,77.498605,42.2,41.2,35032,Roads & Infrastructure
CMP-000075,Ward-24,Traffic Signal Fault,Medium,Resolved,2025-07-29,12.943523,77.436866,2.0,80.7,109646,Parks & Environment
CMP-000076,Ward-39,Garbage Collection,Low,Resolved,2024-06-07,12.782214,77.5238,84.5,84.6,110561,Traffic Police
CMP-000077,Ward-28,Traffic Signal Fault,Critical,Closed,2025-09-20,12.933183,77.547717,11.8,35.1,55306,Urban Planning
CMP-000078,Ward-22,Garbage Collection,Low,Open,2025-11-04,13.046852,77.551571,64.1,74.9,16504,Electrical
CMP-000079,Ward-20,Power Outage,High,Resolved,2024-03-27,12.910525,77.420385,29.3,34.5,97240,Roads & Infrastructure
CMP-000080,Ward-29,Streetlight Outage,Low,Resolved,2024-12-19,12.820434,77.467926,37.9,23.2,110932,Urban Planning
CMP-000081,Ward-1,Road Damage,Critical,Closed,2026-02-21,12.936938,77.404065,75.6,46.6,111530,Sanitation
CMP-000082,Ward-36,Traffic Signal Fault,High,Open,2026-06-01,12.775061,77.408148,32.8,63.5,51500,Traffic Police
CMP-000083,Ward-27,Garbage Collection,Medium,Pending,2024-06-24,12.8682,77.450828,112.9,24.2,15074,Roads & Infrastructure
CMP-000084,Ward-26,Sewage Overflow,Medium,In Progress,2024-12-13,13.005587,77.495115,94.7,82.3,35032,Electrical
CMP-000085,Ward-10,Garbage Collection,Low,Open,2025-09-08,12.763924,77.603562,136.9,122.7,45512,General Administration
CMP-000086,Ward-37,Stray Animals,Critical,In Progress,2025-10-04,12.947016,77.463066,7.6,92.9,89847,Urban Planning
CMP-000087,Ward-30,Sewage Overflow,Low,Closed,2024-03-19,12.89869,77.430311,99.7,94.8,31828,Parks & Environment
CMP-000088,Ward-3,Sewage Overflow,High,Resolved,2024-11-25,12.761039,77.465618,78.9,30.9,41062,Traffic Police
CMP-000089,Ward-3,Garbage Collection,Medium,Resolved,2025-06-19,12.761135,77.462869,73.5,28.3,41062,Traffic Police
CMP-000090,Ward-22,Water Supply,Low,Resolved,2024-10-17,13.043876,77.565765,122.7,71.5,16504,Sanitation
CMP-000091,Ward-23,Garbage Collection,Medium,Resolved,2024-05-12,12.955986,77.443126,53.6,98.7,115741,Traffic Police
CMP-000092,Ward-34,Water Supply,Medium,Resolved,2024-01-19,12.882698,77.467977,38.9,63.6,87603,General Administration
CMP-000093,Ward-19,Traffic Signal Fault,Low,Closed,2026-05-05,12.930149,77.669878,18.1,16.6,33131,Sanitation
CMP-000094,Ward-40,Traffic Signal Fault,Low,Resolved,2025-02-24,12.763537,77.600429,98.1,32.9,110448,General Administration
CMP-000095,Ward-31,Encroachment,Low,Resolved,2025-08-07,12.957614,77.683289,30.7,83.7,94507,Parks & Environment
CMP-000096,Ward-9,Public Nuisance,Low,Resolved,2025-01-15,12.999912,77.577608,106.2,26.9,107349,Urban Planning
CMP-000097,Ward-33,Road Damage,Medium,Pending,2024-08-15,12.970219,77.527391,87.1,45.0,82839,Parks & Environment
CMP-000098,Ward-24,Garbage Collection,Low,Open,2026-01-01,12.945288,77.439294,60.4,71.1,109646,General Administration
CMP-000099,Ward-29,Noise Pollution,High,Open,2024-08-08,12.828535,77.473237,47.4,20.9,110932,Roads & Infrastructure
CMP-000100,Ward-16,Streetlight Outage,High,,2024-04-23,12.877083,77.419854,16.0,56.8,109098,Electrical
CMP-000101,Ward-23,Garbage Collection,Medium,Resolved,2024-03-28,12.954555,77.431578,111.4,64.5,115741,Water Board
CMP-000102,Ward-24,Garbage Collection,Low,Closed,2024-12-19,12.937112,77.436608,73.7,74.8,109646,Traffic Police
CMP-000103,Ward-12,Traffic Signal Fault,Medium,Pending,2025-05-05,12.863689,77.469082,73.6,105.1,99939,General Administration
CMP-000104,Ward-3,Garbage Collection,Low,In Progress,2026-04-14,12.7598,77.460657,50.1,26.3,41062,Traffic Police
CMP-000105,Ward-18,Road Damage,Medium,Closed,2026-01-31,12.791656,77.451019,49.0,75.1,112912,General Administration
CMP-000106,Ward-6,Power Outage,Low,Resolved,2026-04-22,12.82697,77.460469,85.6,46.1,64797,Urban Planning
CMP-000107,Ward-29,Garbage Collection,Low,Closed,2024-12-27,12.824133,77.47096,19.5,18.9,110932,Water Board
CMP-000108,Ward-11,Air Pollution,Low,Resolved,2026-03-11,13.008708,77.506563,50.7,120.0,36319,Traffic Police
CMP-000109,Ward-29,Air Pollution,Medium,Closed,2025-08-10,12.81459,77.4696,43.2,47.4,110932,Roads & Infrastructure
CMP-000110,Ward-36,Road Damage,High,Resolved,2024-08-07,12.780147,77.405136,65.3,48.3,51500,Roads & Infrastructure
CMP-000111,Ward-29,Water Logging,High,Pending,2024-11-23,12.825193,77.476452,29.5,33.9,110932,Urban Planning
CMP-000112,Ward-12,Traffic Signal Fault,Medium,Open,2024-07-24,12.866895,77.457587,18.5,85.6,99939,Traffic Police
CMP-000113,Ward-6,Water Supply,Medium,Resolved,2025-05-05,12.833875,77.469977,67.3,33.7,64797,Traffic Police
CMP-000114,Ward-23,Road Damage,High,Resolved,2025-08-24,12.947724,77.443691,0,98.7,115741,Water Board
CMP-000115,Ward-11,Garbage Collection,High,In Progress,2025-06-15,13.017844,77.520957,47.3,119.6,36319,Urban Planning
CMP-000116,Ward-33,Stray Animals,Medium,Resolved,2024-06-24,12.96706,77.524111,9.0,30.6,82839,Water Board
CMP-000117,Ward-37,Garbage Collection,Low,Resolved,2025-09-24,12.953473,77.464232,22.4,66.3,89847,Urban Planning
CMP-000118,Ward-20,Sewage Overflow,Medium,Open,2025-03-01,12.902543,77.421353,18.1,31.4,97240,Traffic Police
CMP-000119,Ward-9,Tree Fall,Medium,Open,2024-09-04,12.99815,77.580905,66.0,75.4,107349,Urban Planning
CMP-000120,Ward-11,Traffic Signal Fault,Critical,Resolved,2024-07-13,13.015207,77.514003,16.6,75.8,36319,Urban Planning
CMP-000121,Ward-30,Air Pollution,Low,In Progress,2024-02-21,12.891424,77.422714,89.2,41.1,31828,Urban Planning
CMP-000122,Ward-17,Power Outage,High,In Progress,2025-02-14,12.835426,77.597868,31.5,102.3,75142,Parks & Environment
CMP-000123,Ward-40,Power Outage,Low,Pending,2025-02-07,12.763715,77.605773,28.3,31.9,110448,Sanitation
CMP-000124,Ward-3,Water Supply,High,Closed,2025-06-15,12.758079,77.467716,25.2,33.4,41062,Traffic Police
CMP-000125,Ward-20,Noise Pollution,Medium,Resolved,2025-05-16,12.907033,77.423269,35.3,26.6,97240,Roads & Infrastructure
CMP-000126,Ward-2,Noise Pollution,Low,Resolved,2026-03-05,12.782318,77.616751,82.6,74.1,19165,Parks & Environment
CMP-000127,Ward-8,Road Damage,Medium,Resolved,2025-02-26,12.891637,77.435656,81.9,7.2,53427,Water Board
CMP-000128,Ward-31,Sewage Overflow,Low,Open,2025-06-29,12.944772,77.681141,38.6,26.3,94507,Urban Planning
CMP-000129,Ward-36,Garbage Collection,Critical,Pending,2026-02-28,12.766,77.40357,36.2,42.6,51500,Traffic Police
CMP-000130,Ward-19,Road Damage,Medium,In Progress,2025-02-08,12.931744,77.678439,51.9,32.3,33131,Urban Planning
CMP-000131,Ward-17,Power Outage,Low,Closed,2024-10-04,12.853063,77.600555,67.2,115.1,75142,Electrical
CMP-000132,Ward-15,Water Supply,Medium,Resolved,2024-04-12,12.850909,77.623243,73.7,60.8,56347,Sanitation
CMP-000133,Ward-31,Stray Animals,High,In Progress,2024-10-19,12.950843,77.692214,55.6,77.7,94507,Water Board
CMP-000134,Ward-12,Air Pollution,Low,Closed,2026-03-17,,,87.1,68.0,99939,Water Board
CMP-000135,Ward-22,Garbage Collection,Critical,Resolved,2025-05-20,13.056621,77.551418,39.4,79.7,16504,Roads & Infrastructure
CMP-000136,Ward-12,Water Supply,Low,In Progress,2025-11-21,12.8662,77.456362,67.6,33.0,99939,Parks & Environment
CMP-000137,Ward-12,Water Logging,Medium,Pending,2024-01-07,12.85627,77.457562,40.3,8.3,99939,Urban Planning
CMP-000138,Ward-24,Power Outage,Low,Open,2024-11-10,12.935483,77.437187,94.5,37.5,109646,Urban Planning
CMP-000139,Ward-24,Noise Pollution,Low,Open,2024-06-05,12.941389,77.443243,18.3,81.3,109646,General Administration
CMP-000140,Ward-16,Power Outage,Medium,Closed,2025-06-22,12.869284,77.423932,111.1,78.4,109098,Water Board
CMP-000141,Ward-35,Road Damage,Low,Resolved,2024-04-29,12.82264,77.470403,0,71.4,45007,General Administration
CMP-000142,Ward-30,Illegal Construction,Medium,Resolved,2024-11-11,12.900263,77.418683,84.1,33.8,31828,Roads & Infrastructure
CMP-000143,Ward-4,Air Pollution,Low,Pending,2024-02-02,12.960548,77.603997,69.9,80.3,51463,Parks & Environment
CMP-000144,Ward-25,Streetlight Outage,Medium,Resolved,2025-07-06,13.005416,77.486223,113.1,76.0,28947,Parks & Environment
CMP-000145,Ward-1,Tree Fall,Critical,Resolved,2026-01-06,12.942717,77.408142,46.7,34.2,111530,Traffic Police
CMP-000146,Ward-8,Water Supply,Medium,Resolved,2026-06-23,12.895608,77.432261,115.1,44.8,53427,General Administration
CMP-000147,Ward-3,Streetlight Outage,Low,In Progress,2026-06-03,12.76446,77.458394,69.9,34.1,41062,Traffic Police
CMP-000148,Ward-16,Garbage Collection,Low,Resolved,2024-08-14,12.86862,77.41536,20.6,53.3,109098,Sanitation
CMP-000149,Ward-23,Air Pollution,Medium,Closed,2024-11-22,12.958011,77.432531,59.5,90.7,115741,General Administration
CMP-000150,Ward-10,Traffic Signal Fault,High,Resolved,2025-03-02,12.772013,77.591061,62.8,108.5,45512,Roads & Infrastructure
CMP-000151,Ward-13,Water Supply,Medium,Resolved,2024-02-10,12.778893,77.584256,54.4,19.4,75589,Electrical
CMP-000152,Ward-1,Road Damage,Low,Resolved,2026-02-03,12.951819,77.407081,40.8,67.7,111530,Electrical
CMP-000153,Ward-19,Streetlight Outage,Medium,In Progress,2024-09-24,12.922569,77.677003,1.0,51.3,33131,General Administration
CMP-000154,Ward-21,Streetlight Outage,Medium,In Progress,2024-05-29,12.788319,77.60521,12.6,38.3,93104,Urban Planning
CMP-000155,Ward-16,Sewage Overflow,Medium,Resolved,2024-09-20,12.875616,77.419629,57.8,26.4,109098,General Administration
CMP-000156,Ward-35,Sewage Overflow,High,Resolved,2025-10-19,12.828179,77.466544,33.7,59.5,45007,Water Board
CMP-000157,Ward-15,Water Supply,Low,In Progress,2025-04-11,12.844749,77.632851,18.2,44.1,56347,General Administration
CMP-000158,Ward-27,Water Supply,Medium,In Progress,2024-10-20,12.852517,77.454728,37.6,34.7,15074,Sanitation
CMP-000159,Ward-13,Noise Pollution,Low,In Progress,2026-03-25,12.769359,77.587954,20.6,58.6,75589,Electrical
CMP-000160,Ward-3,Water Supply,Medium,Resolved,2024-02-27,12.761674,77.469648,96.1,46.5,41062,Traffic Police
CMP-000161,Ward-34,Encroachment,Low,Pending,2025-12-09,12.893197,77.473882,36.1,35.6,87603,Urban Planning
CMP-000162,Ward-21,Water Supply,Low,Open,2026-04-20,12.802249,77.60211,69.6,59.6,93104,Electrical
CMP-000163,Ward-35,Garbage Collection,High,Open,2025-12-06,12.823517,77.466081,35.7,66.4,45007,Parks & Environment
CMP-000164,Ward-40,Air Pollution,Medium,Closed,2024-01-31,12.768933,77.601708,34.7,39.2,110448,Parks & Environment
CMP-000165,Ward-6,Tree Fall,Low,In Progress,2024-03-16,12.825002,77.457678,49.8,19.3,64797,Parks & Environment
CMP-000166,Ward-20,Sewage Overflow,High,Open,2024-03-30,12.896606,77.42625,13.5,34.1,97240,Water Board
CMP-000167,Ward-21,Public Nuisance,Low,Resolved,2026-03-08,12.789689,77.612167,122.3,23.6,93104,Sanitation
CMP-000168,Ward-18,Sewage Overflow,Low,Resolved,2025-03-07,12.788856,77.447542,8.6,104.6,112912,General Administration
CMP-000169,Ward-20,Water Supply,Medium,Closed,2025-01-24,12.90894,77.423864,14.0,61.5,97240,Sanitation
CMP-000170,Ward-31,Garbage Collection,Critical,Pending,2024-10-25,12.952622,77.686713,67.1,54.1,94507,Traffic Police
CMP-000171,Ward-8,Air Pollution,Low,Pending,2024-07-03,12.891461,77.43845,109.0,32.9,53427,Electrical
CMP-000172,Ward-27,Stray Animals,Low,In Progress,2024-09-15,12.865347,77.45277,73.6,72.2,15074,General Administration
CMP-000173,Ward-27,Illegal Construction,High,In Progress,2026-04-11,12.862912,77.451229,127.1,110.3,15074,Traffic Police
CMP-000174,Ward-26,Air Pollution,Low,Closed,2024-04-18,13.001367,77.484708,18.4,64.5,35032,Electrical
CMP-000175,Ward-38,Power Outage,Low,Pending,2025-05-09,12.914954,77.471219,61.2,53.0,27363,Sanitation
CMP-000176,Ward-34,Sewage Overflow,Medium,Resolved,2025-12-14,12.884495,77.465715,55.0,39.6,87603,Water Board
CMP-000177,Ward-11,Encroachment,High,Resolved,2025-07-19,13.003148,77.515235,65.9,73.5,36319,Parks & Environment
CMP-000178,Ward-26,Water Supply,Medium,Open,2025-08-29,13.009747,77.479622,61.2,85.5,35032,Roads & Infrastructure
CMP-000179,Ward-24,Garbage Collection,Medium,In Progress,2026-06-02,12.942079,77.442784,36.6,77.2,109646,Parks & Environment
CMP-000180,Ward-40,Road Damage,Medium,Closed,2025-09-21,12.768054,77.599479,47.2,45.3,110448,Roads & Infrastructure
CMP-000181,Ward-27,Noise Pollution,Medium,Resolved,2025-05-13,12.864884,77.452334,0,0,15074,Sanitation
CMP-000182,Ward-29,Noise Pollution,High,Pending,2025-05-11,12.814567,77.478565,86.3,33.7,110932,General Administration
CMP-000183,Ward-29,Sewage Overflow,Low,Open,2026-02-18,12.816247,77.462915,56.3,48.4,110932,General Administration
CMP-000184,Ward-33,Road Damage,Low,Closed,2026-04-23,12.973703,77.520539,59.5,20.7,82839,General Administration
CMP-000185,Ward-16,Garbage Collection,Critical,Resolved,2024-12-22,12.877593,77.411597,80.6,55.5,109098,Electrical
CMP-000186,Ward-40,Stray Animals,Low,Open,2024-07-30,12.772522,77.602146,21.3,29.4,110448,Sanitation
CMP-000187,Ward-18,Air Pollution,Medium,Pending,2026-04-14,12.784766,77.451144,77.3,12.9,112912,Urban Planning
CMP-000188,Ward-16,Road Damage,Low,In Progress,2026-05-13,12.873874,77.419646,41.6,55.6,109098,Parks & Environment
CMP-000189,Ward-6,Streetlight Outage,High,Resolved,2026-06-17,12.830742,77.473599,60.2,39.5,64797,Roads & Infrastructure
CMP-000190,Ward-23,Public Nuisance,High,In Progress,2025-03-15,12.960582,77.43426,53.4,94.1,115741,Sanitation
CMP-000191,Ward-4,Water Supply,Medium,Closed,2024-01-17,12.957291,77.61755,45.0,58.0,51463,Parks & Environment
CMP-000192,Ward-20,Road Damage,Critical,In Progress,2025-11-01,12.900067,77.418921,17.1,21.4,97240,Water Board
CMP-000193,Ward-15,Streetlight Outage,Low,Open,2024-08-06,,,33.2,120.6,56347,Water Board
CMP-000194,Ward-28,Power Outage,Medium,In Progress,2024-04-01,12.934298,77.538631,17.8,89.6,55306,Sanitation
CMP-000195,Ward-10,Water Supply,Medium,Resolved,2024-06-17,12.769669,77.602828,48.2,74.1,45512,Parks & Environment
CMP-000196,Ward-7,Road Damage,Low,Resolved,2024-12-25,12.78828,77.650538,69.6,94.8,110647,Roads & Infrastructure
CMP-000197,Ward-19,Tree Fall,Medium,Closed,2025-11-05,12.932893,77.663456,32.3,38.5,33131,Parks & Environment
CMP-000198,Ward-16,Sewage Overflow,Low,Resolved,2025-08-31,12.861769,77.427631,103.8,65.9,109098,Traffic Police
CMP-000199,Ward-24,Illegal Construction,Low,Resolved,2026-02-27,12.933749,77.435213,64.5,59.2,109646,Water Board
CMP-000200,Ward-33,Tree Fall,Medium,Resolved,2025-10-17,12.964616,77.522019,52.5,70.1,82839,Electrical
CMP-000201,Ward-38,Stray Animals,High,Resolved,2024-03-08,12.919066,77.471649,67.2,51.1,27363,Electrical
CMP-000202,Ward-39,Water Supply,Medium,Resolved,2024-06-28,12.771468,77.533473,41.5,46.5,110561,Traffic Police
CMP-000203,Ward-11,Streetlight Outage,High,Closed,2026-01-20,13.017673,77.519467,94.4,88.4,36319,Urban Planning
CMP-000204,Ward-5,Sewage Overflow,Medium,Open,2026-05-29,12.994167,77.399304,62.7,83.5,59597,Roads & Infrastructure
CMP-000205,Ward-1,Garbage Collection,Medium,In Progress,2024-06-02,12.935407,77.41671,77.8,51.8,111530,Parks & Environment
CMP-000206,Ward-21,Garbage Collection,Low,In Progress,2025-05-29,12.801462,77.595197,59.9,77.5,93104,Water Board
CMP-000207,Ward-19,Tree Fall,Low,Open,2025-04-12,12.915535,77.66336,25.4,39.6,33131,Electrical
CMP-000208,Ward-13,Power Outage,Medium,Closed,2024-06-03,12.761549,77.588694,,62.0,75589,Water Board
CMP-000209,Ward-20,Road Damage,Medium,In Progress,2025-05-18,12.912082,77.436724,37.3,48.0,97240,Water Board
CMP-000210,Ward-24,Sewage Overflow,High,Resolved,2025-06-01,12.934959,77.439865,76.4,70.3,109646,Parks & Environment
CMP-000211,Ward-21,Encroachment,Medium,Closed,2024-11-30,12.794356,77.599583,71.8,60.2,93104,Roads & Infrastructure
CMP-000212,Ward-27,Road Damage,Medium,Closed,2025-04-07,12.85834,77.443765,86.5,95.9,15074,Urban Planning
CMP-000213,Ward-21,Road Damage,High,Pending,2025-02-09,12.798264,77.607688,48.0,114.3,93104,Water Board
CMP-000214,Ward-36,Garbage Collection,Medium,Closed,2024-05-23,12.762649,77.400657,45.1,45.8,51500,Electrical
CMP-000215,Ward-6,Noise Pollution,Low,Closed,2024-01-23,12.843304,77.458549,23.6,18.3,64797,Roads & Infrastructure
CMP-000216,Ward-3,Air Pollution,Low,Pending,2025-03-19,12.765373,77.463491,90.9,38.0,41062,Sanitation
CMP-000217,Ward-29,Public Nuisance,Low,Resolved,2024-09-08,12.824782,77.472239,77.2,26.9,110932,Roads & Infrastructure
CMP-000218,Ward-34,Garbage Collection,Critical,Resolved,2024-01-20,12.895234,77.48001,16.7,46.2,87603,General Administration
CMP-000219,Ward-18,Road Damage,Low,In Progress,2026-04-10,12.798432,77.433061,101.8,61.2,112912,Electrical
CMP-000220,Ward-18,Illegal Construction,High,Resolved,2026-02-21,12.802789,77.436277,94.8,29.2,112912,Traffic Police
CMP-000221,Ward-16,Noise Pollution,High,Resolved,2025-08-28,12.860913,77.423868,114.2,54.5,109098,Electrical
CMP-000222,Ward-35,Garbage Collection,Medium,Open,2024-08-26,12.821067,77.456464,15.3,70.8,45007,Electrical
